regime,horizon_years,kind,n,median,mean,worst,best,share_negative,p5,p25,p75,p95
1929 & 1997-2002,1,real,57,0.041294643447874924,-0.003910408038139283,-0.29785188425074827,0.2935404470828813,0.49122807017543857,-0.2548661994638835,-0.18478258021341898,0.18486437841894476,0.25131032905514256
1929 & 1997-2002,1,nom,57,0.0777740353522931,0.01831020868101607,-0.30687308382982237,0.31515281841409304,0.47368421052631576,-0.25854034545448906,-0.1693304407229208,0.20964264133333899,0.2772217447501487
1929 & 1997-2002,3,real,57,-0.04192931485531037,-0.04220549241104995,-0.2685588334349247,0.17360973991126505,0.6842105263157895,-0.16591562715765087,-0.12842200519071145,0.006900836685123313,0.14939993568379462
1929 & 1997-2002,3,nom,57,-0.017668920951661615,-0.021251927127242783,-0.32659662625996577,0.20242579624746626,0.6140350877192983,-0.14480929677746665,-0.10940148953604334,0.0325590099265225,0.178306420904479
1929 & 1997-2002,5,real,57,-0.030376501153017266,-0.028863596259905828,-0.13233010504444653,0.035460046503718035,0.8596491228070176,-0.05488624767918846,-0.045635968334969856,-0.012910145497484926,0.030370679703623022
1929 & 1997-2002,5,nom,57,-0.007766406217959987,-0.006624367362402907,-0.17309981271149566,0.06350271177458611,0.6491228070175439,-0.030902692477098426,-0.021479039027720304,0.010394817086293529,0.05883185482819479
2017-2021,1,real,68,0.09871489536704192,0.0772419450067253,-0.21302368733295107,0.311676852432085,0.23529411764705882,-0.18258501034143704,0.012777042232940794,0.16405023854986667,0.2635658003210203
2017-2021,1,nom,68,0.14466870086387795,0.1179712375425658,-0.15206900892467667,0.34773983867291025,0.22058823529411764,-0.12072827037554751,0.04214242793802214,0.2023069656701676,0.3297661538320497
2017-2021,3,real,45,0.0676938701213583,0.08881167044334372,0.03006654843103984,0.18177938666431204,0.0,0.03478255665239316,0.04800182351204718,0.12959366966371655,0.16276937521832618
2017-2021,3,nom,45,0.11429673275611352,0.12982824930674625,0.08221695833520704,0.21777523104220897,0.0,0.08798850715280845,0.09914404578391234,0.1669826578383624,0.1974175160627933
2017-2021,5,real,34,0.0791357214067947,0.08112786058326872,0.05091485194163892,0.11138853321074205,0.0,0.05708331085522896,0.06739688335032784,0.09470218552316928,0.10828609669716
2017-2021,5,nom,34,0.12653764901374476,0.12587508919204876,0.09120763473452986,0.16191679931746572,0.0,0.0979869329698417,0.10862362236834744,0.14269475254991498,0.1560817799134092
