series,year,best_days
S&P 500 price (no dividends),1932,11
S&P 500 price (no dividends),1933,10
S&P 500 price (no dividends),1931,7
S&P 500 price (no dividends),2008,5
S&P 500 price (no dividends),1929,3
S&P 500 price (no dividends),1935,3
S&P 500 price (no dividends),2020,3
S&P 500 price (no dividends),1938,2
S&P 500 price (no dividends),2009,2
S&P 500 price (no dividends),1939,1
S&P 500 price (no dividends),2025,1
S&P 500 price (no dividends),1987,1
S&P 500 price (no dividends),1937,1
S&P 500 total return,2008,14
S&P 500 total return,2020,8
S&P 500 total return,2002,6
S&P 500 total return,2009,5
S&P 500 total return,2001,4
S&P 500 total return,2011,3
S&P 500 total return,1998,2
S&P 500 total return,2000,2
S&P 500 total return,2025,1
S&P 500 total return,2022,1
S&P 500 total return,1997,1
S&P 500 total return,2018,1
S&P 500 total return,2010,1
S&P 500 total return,2015,1
SPY ETF adjusted close (after fees),2008,13
SPY ETF adjusted close (after fees),2020,8
SPY ETF adjusted close (after fees),2002,6
SPY ETF adjusted close (after fees),2009,5
SPY ETF adjusted close (after fees),1998,4
SPY ETF adjusted close (after fees),2000,3
SPY ETF adjusted close (after fees),2011,3
SPY ETF adjusted close (after fees),2001,2
SPY ETF adjusted close (after fees),2025,1
SPY ETF adjusted close (after fees),1997,1
SPY ETF adjusted close (after fees),2022,1
SPY ETF adjusted close (after fees),2018,1
SPY ETF adjusted close (after fees),2010,1
SPY ETF adjusted close (after fees),2015,1
