series,rank,kind,date,return,drawdown_at_close
S&P 500 price (no dividends),1,best,1933-03-15,0.16609585014510864,-0.7862523599397886
S&P 500 price (no dividends),2,best,1929-10-30,0.12530589465012532,-0.27840554517602434
S&P 500 price (no dividends),3,best,1931-10-06,0.12358278801614109,-0.6889516742761055
S&P 500 price (no dividends),4,best,1939-09-05,0.11858408229820983,-0.603264278054787
S&P 500 price (no dividends),5,best,1932-09-21,0.11811031308677733,-0.7325800284198533
S&P 500 price (no dividends),6,best,2008-10-13,0.11580036951513706,-0.35894325787615355
S&P 500 price (no dividends),7,best,2008-10-28,0.10789005877973534,-0.399092741849
S&P 500 price (no dividends),8,best,1931-06-22,0.1051436733413047,-0.541431281331164
S&P 500 price (no dividends),9,best,1935-04-17,0.09610704819825755,-0.7172002493322484
S&P 500 price (no dividends),10,best,1933-04-20,0.0952381397607065,-0.7545511606449687
S&P 500 price (no dividends),11,best,2025-04-09,0.09515387644904849,-0.11185436731252951
S&P 500 price (no dividends),12,best,1935-05-17,0.09398914166181171,-0.685812930410632
S&P 500 price (no dividends),13,best,2020-03-24,0.09382773976227554,-0.27725288345000276
S&P 500 price (no dividends),14,best,2020-03-13,0.09287124972971839,-0.1993797977889885
S&P 500 price (no dividends),15,best,1932-08-08,0.09264700293128625,-0.76679222580038
S&P 500 price (no dividends),16,best,1987-10-21,0.09099355185214564,-0.23277010033004153
S&P 500 price (no dividends),17,best,1929-11-14,0.08946772012218274,-0.39610799113208617
S&P 500 price (no dividends),18,best,1933-06-19,0.0886849998313326,-0.6647834243384865
S&P 500 price (no dividends),19,best,1932-08-03,0.0885860291421432,-0.7994350362815299
S&P 500 price (no dividends),20,best,1933-07-24,0.08808294456691246,-0.670433151323027
S&P 500 price (no dividends),21,best,1931-10-08,0.08588958849927253,-0.6666666766444266
S&P 500 price (no dividends),22,best,1931-12-18,0.08290153936256872,-0.737602024591267
S&P 500 price (no dividends),23,best,1932-02-11,0.08266665140787754,-0.7451349739484678
S&P 500 price (no dividends),24,best,1938-10-10,0.08249022836380204,-0.5634023985896396
