series,start,end,years,trading_days,scenario,multiple,cagr,growth_of_10k
S&P 500 price (no dividends),1927-12-30,2026-09-18,98.71868583162218,24795,buy and hold,433.2106492696743,0.06343076496438571,4332106.492696743
S&P 500 price (no dividends),1927-12-30,2026-09-18,98.71868583162218,24795,without 10 best days,143.24269292550983,0.05157577096215604,1432426.9292550983
S&P 500 price (no dividends),1927-12-30,2026-09-18,98.71868583162218,24795,without 10 worst days,1448.247677604962,0.07651153667664934,14482476.776049621
S&P 500 price (no dividends),1927-12-30,2026-09-18,98.71868583162218,24795,without 20 best days,59.720434494891435,0.042297654734201995,597204.3449489144
S&P 500 price (no dividends),1927-12-30,2026-09-18,98.71868583162218,24795,without 20 worst days,3535.1786978694186,0.08628723952963702,35351786.978694186
S&P 500 price (no dividends),1927-12-30,2026-09-18,98.71868583162218,24795,without 30 best days,27.957809629616722,0.0343148965273814,279578.09629616723
S&P 500 price (no dividends),1927-12-30,2026-09-18,98.71868583162218,24795,without 30 worst days,7664.091439218768,0.09483529183991113,76640914.39218768
S&P 500 price (no dividends),1927-12-30,2026-09-18,98.71868583162218,24795,without 50 best days,7.50228480731372,0.020623422377713085,75022.8480731372
S&P 500 price (no dividends),1927-12-30,2026-09-18,98.71868583162218,24795,without 50 worst days,29327.96891872484,0.10982025944619056,293279689.1872484
S&P 500 price (no dividends),1927-12-30,2026-09-18,98.71868583162218,24795,without 100 best days,0.606554013692722,-0.005051704219942721,6065.54013692722
S&P 500 price (no dividends),1927-12-30,2026-09-18,98.71868583162218,24795,without 100 worst days,452305.3914162265,0.14100713857490232,4523053914.162265
S&P 500 price (no dividends),1927-12-30,2026-09-18,98.71868583162218,24795,without 50 best and 50 worst days,507.8978922130293,0.06514555412361633,5078978.922130293
S&P 500 total return,1988-01-04,2026-09-18,38.704996577686515,9750,buy and hold,67.00398449780444,0.11475639219925116,670039.8449780444
S&P 500 total return,1988-01-04,2026-09-18,38.704996577686515,9750,without 10 best days,29.80853573445388,0.09167091422108675,298085.3573445388
S&P 500 total return,1988-01-04,2026-09-18,38.704996577686515,9750,without 10 worst days,161.05724702959617,0.14030374866140427,1610572.4702959617
S&P 500 total return,1988-01-04,2026-09-18,38.704996577686515,9750,without 20 best days,17.2773343498649,0.07639585119080539,172773.34349864902
S&P 500 total return,1988-01-04,2026-09-18,38.704996577686515,9750,without 20 worst days,300.1684011064362,0.15879425885998422,3001684.011064362
S&P 500 total return,1988-01-04,2026-09-18,38.704996577686515,9750,without 30 best days,10.851994298206293,0.06354017194560702,108519.94298206293
S&P 500 total return,1988-01-04,2026-09-18,38.704996577686515,9750,without 30 worst days,498.9345648674762,0.17410757135222932,4989345.648674762
S&P 500 total return,1988-01-04,2026-09-18,38.704996577686515,9750,without 50 best days,4.853890769540368,0.041660354130480526,48538.90769540368
S&P 500 total return,1988-01-04,2026-09-18,38.704996577686515,9750,without 50 worst days,1197.0967673860266,0.20095837701760133,11970967.673860267
S&P 500 total return,1988-01-04,2026-09-18,38.704996577686515,9750,without 100 best days,0.9321398508320443,-0.0018139432332576755,9321.398508320442
S&P 500 total return,1988-01-04,2026-09-18,38.704996577686515,9750,without 100 worst days,6794.657159625712,0.25605782688329337,67946571.59625712
S&P 500 total return,1988-01-04,2026-09-18,38.704996577686515,9750,without 50 best and 50 worst days,86.7198718555624,0.1222099617945227,867198.718555624
SPY ETF adjusted close (after fees),1993-01-29,2026-09-18,33.634496919917865,8466,buy and hold,31.666434303109682,0.10819167564007426,316664.3430310968
SPY ETF adjusted close (after fees),1993-01-29,2026-09-18,33.634496919917865,8466,without 10 best days,13.740574135877422,0.08102180782358914,137405.74135877422
SPY ETF adjusted close (after fees),1993-01-29,2026-09-18,33.634496919917865,8466,without 10 worst days,75.92869321291386,0.13738386391907165,759286.9321291386
SPY ETF adjusted close (after fees),1993-01-29,2026-09-18,33.634496919917865,8466,without 20 best days,7.939865654304595,0.06353720362114079,79398.65654304594
SPY ETF adjusted close (after fees),1993-01-29,2026-09-18,33.634496919917865,8466,without 20 worst days,136.33613337971758,0.1573505687735688,1363361.333797176
SPY ETF adjusted close (after fees),1993-01-29,2026-09-18,33.634496919917865,8466,without 30 best days,4.966748987898654,0.048806058096600546,49667.48987898654
SPY ETF adjusted close (after fees),1993-01-29,2026-09-18,33.634496919917865,8466,without 30 worst days,223.35508662305196,0.1744617779452733,2233550.8662305195
SPY ETF adjusted close (after fees),1993-01-29,2026-09-18,33.634496919917865,8466,without 50 best days,2.223855217167835,0.02404715519062517,22238.55217167835
SPY ETF adjusted close (after fees),1993-01-29,2026-09-18,33.634496919917865,8466,without 50 worst days,534.6982931145396,0.20534241311533052,5346982.931145396
SPY ETF adjusted close (after fees),1993-01-29,2026-09-18,33.634496919917865,8466,without 100 best days,0.4336337151562644,-0.024536177032252304,4336.337151562644
SPY ETF adjusted close (after fees),1993-01-29,2026-09-18,33.634496919917865,8466,without 100 worst days,2961.773715348492,0.2682767382736748,29617737.15348492
SPY ETF adjusted close (after fees),1993-01-29,2026-09-18,33.634496919917865,8466,without 50 best and 50 worst days,37.55053623567394,0.11382127867765224,375505.3623567394
