peak,trough,depth,peak_to_trough_days,recovery,full_cycle_years
1929-09-16,1932-06-01,-0.8618957937515594,989,1954-09-22,25.01574264202601
1956-08-03,1957-10-22,-0.21474617200811386,445,1958-09-24,2.1409993155373033
1961-12-12,1962-06-26,-0.27973568096863066,196,1963-09-03,1.7248459958932238
1966-02-09,1966-10-07,-0.22177334841367646,240,1967-05-04,1.2292950034223136
1968-11-29,1970-05-26,-0.36061641451132354,543,1972-03-06,3.266255989048597
1973-01-11,1974-10-03,-0.4820359290935835,630,1980-07-17,7.512662559890486
1980-11-28,1982-08-12,-0.27113581657485364,622,1982-11-03,1.9301848049281314
1987-08-25,1987-12-04,-0.3350951525557261,101,1989-07-26,1.919233401779603
2000-03-24,2002-10-09,-0.4914694789846552,929,2007-05-30,7.181382614647502
2007-10-09,2009-03-09,-0.5677538774277282,517,2013-03-28,5.467488021902806
2020-02-19,2020-03-23,-0.3392496000265327,33,2020-08-18,0.49555099247091033
2022-01-03,2022-10-12,-0.2542509661923039,282,2024-01-19,2.0424366872005475
