year,intra_year_max_drawdown,calendar_return
1927,0.0,0.0
1928,-0.10273974200590918,0.3710585623682052
1929,-0.44569995263357776,-0.1354292130322423
1930,-0.4429012523966034,-0.27573182570543986
1931,-0.5751238438207941,-0.4876971804333713
1932,-0.5100222361178783,-0.08465606763619771
1933,-0.2942623121896699,0.45973651221052214
1934,-0.29272420706254754,-0.06033626878259746
1935,-0.15866383258814687,0.412197684747569
1936,-0.127659604557813,0.28208961151150436
1937,-0.45527584173889724,-0.37684583576117514
1938,-0.28870291751722577,0.24904940794233
1939,-0.2123960365207539,-0.04740060314797112
1940,-0.29600630784217485,-0.1623119692921402
1941,-0.22928175412852736,-0.17080153053814529
1942,-0.17821785865812467,0.09898763559687396
1943,-0.13053801640727203,0.17641128896581515
1944,-0.0693293176004145,0.13893652716630478
1945,-0.0688456024505848,0.30232563463699336
1946,-0.2664935124384893,-0.113043467203776
1947,-0.14684008807365811,0.0065789725476688155
1948,-0.13540442779930528,-0.00912648904368718
1949,-0.13196665671041252,0.12307699864463428
1950,-0.14020615292984007,0.2262905457558746
1951,-0.08110479722859976,0.14443909166495095
1952,-0.0684931527301812,0.11638657758653714
1953,-0.1481620699755135,-0.06518467934840255
1954,-0.044216571651652825,0.4420841058923235
1955,-0.10585145119423933,0.2375510079520089
1956,-0.10596290060853797,0.03343663256499618
1957,-0.20659477519258862,-0.134415562379258
1958,-0.04357038422070114,0.3689560272214061
1959,-0.09174764913229616,0.08026697101676361
1960,-0.13561845851107668,-0.030045054943165672
1961,-0.062317978454847656,0.24283486939449217
1962,-0.26444535758350374,-0.1107666391172697
1963,-0.06538671491787285,0.19668205912361048
1964,-0.035465897101148336,0.12355826139622472
1965,-0.09604518102761284,0.09735244712616042
1966,-0.22177334841367646,-0.1285528144379463
1967,-0.06609280858982769,0.20017422887633862
1968,-0.0930521080067308,0.08063676985519952
1969,-0.15975891229100014,-0.11421151459374035
1970,-0.2586132934486717,-0.009139768538936499
1971,-0.1394482528307297,0.12002188292784277
1972,-0.05135500890242861,0.16110952274823265
1973,-0.2335328900577197,-0.1809403501129837
1974,-0.3759519351217101,-0.29811632530307275
1975,-0.14140784631474157,0.2842090008600584
1976,-0.08365022831580049,0.18217818790552132
1977,-0.15224299921053597,-0.11121496753157856
1978,-0.13552668744290342,0.02440845153460036
1979,-0.10245343974488863,0.11588957609261885
1980,-0.1707193583578842,0.2836610416475047
1981,-0.18353605104469461,-0.1011441518008932
1982,-0.1655532022851881,0.1458367430130343
1983,-0.06906843931211504,0.19220758306907482
1984,-0.126772162156364,0.019507512423811768
1985,-0.07661635932534727,0.277619913029421
1986,-0.09423629199225281,0.155446359083526
1987,-0.3350951525557261,0.0025563192964648263
1988,-0.07640469020970919,0.08509806427888544
1989,-0.07556977032765089,0.28364388155308795
1990,-0.19918693134699028,-0.08193166621444758
1991,-0.05603791573506445,0.27765348672548495
1992,-0.062433133777557215,0.04421699002455681
1993,-0.049941881309469194,0.07136296333264469
1994,-0.08937756550262577,-0.013256302413566567
1995,-0.02533416966357671,0.34157394159949317
1996,-0.07643215959256999,0.19333689936322762
1997,-0.10795223920774999,0.31671209321076343
1998,-0.1933599921661049,0.2606970054250204
1999,-0.12078686729338572,0.19636025503461774
2000,-0.17199794261178336,-0.09272820887762456
2001,-0.29695063693418533,-0.10534810399914463
2002,-0.3375237709732706,-0.23803340015817642
2003,-0.14053409661238037,0.22319396291602245
2004,-0.08164907105058117,0.09331703350458365
2005,-0.07166354179327217,0.038441771510338896
2006,-0.07698985307108452,0.11782786431800618
2007,-0.10090409944571355,0.03653819755588783
2008,-0.48005750250840673,-0.3758465002718231
2009,-0.27620624750026523,0.196716022960171
2010,-0.15994677274011782,0.1100186457854555
2011,-0.19388242072358453,-0.011219715525984442
2012,-0.09936294686452452,0.11677593532814434
2013,-0.05755593615479104,0.26390498612495916
2014,-0.07401459519995712,0.1238659397451154
2015,-0.12352525063764352,-0.006928388933983731
2016,-0.09303767448819944,0.11237369456560709
2017,-0.02796791718481184,0.18415027478159773
2018,-0.19778210435681998,-0.07009394461420981
2019,-0.0683610804467385,0.28714795902338297
2020,-0.3392496000265327,0.15292906541696083
2021,-0.0521253759010486,0.2879305801834058
2022,-0.2542509661923039,-0.19953050663444416
2023,-0.10276617093291363,0.24729487207888678
2024,-0.08485144350207374,0.24010976272160822
2025,-0.1890220618428401,0.16647216566725942
2026,-0.09097524918009314,0.11548198947369692
