series,horizon_years,entry,n,median,mean,worst,best,share_negative,p5,p95
S&P 500 total return (1988-),1,random day,9499,0.14384297659101142,0.1266232528120365,-0.47495980550647154,0.7780085707040245,0.16812296031161175,-0.18728450662562587,0.35729230655174626
S&P 500 total return (1988-),1,new all-time high day,764,0.15850756051236803,0.13784203303532624,-0.35704100604258093,0.4134398879359815,0.14397905759162305,-0.09752930374161077,0.32090965055655807
S&P 500 total return (1988-),1,within 1% of high,2154,0.14963317299248335,0.13231412040282617,-0.4089568082391972,0.4294750852893787,0.13834726090993502,-0.09632889367559787,0.31882417319815437
S&P 500 total return (1988-),1,within 5% of high,4676,0.1404358618238677,0.12711281457628346,-0.4349269322973369,0.49751410604981583,0.15183917878528658,-0.12761301921722806,0.33402023583604773
S&P 500 total return (1988-),1,10%+ below high,3605,0.14601291815234485,0.12600942679928667,-0.47495980550647154,0.7780085707040245,0.16588072122052705,-0.22638434365916035,0.3735366041237144
S&P 500 total return (1988-),1,20%+ below high,1987,0.13302184079722768,0.12866283810285942,-0.3335625181277544,0.7780085707040245,0.1474584801207851,-0.2076336166928658,0.38896569038101736
S&P 500 total return (1988-),3,random day,8995,0.12457597954250166,0.11384728840652636,-0.1731680380242666,0.3322345979737664,0.14085603112840467,-0.09121417370049707,0.2730304918902286
S&P 500 total return (1988-),3,new all-time high day,682,0.1066147995281036,0.12732299766617053,-0.16619855564025432,0.3315031468100007,0.07917888563049853,-0.05289014358616796,0.3046124716526102
S&P 500 total return (1988-),3,within 1% of high,1915,0.11094368069089411,0.12821609653305488,-0.16619855564025432,0.3322345979737664,0.07154046997389034,-0.050652459285455524,0.2949664121674243
S&P 500 total return (1988-),3,within 5% of high,4282,0.1156866501937136,0.12311129257600098,-0.16619855564025432,0.3322345979737664,0.10579168612797758,-0.08945634254332421,0.2933528322371799
S&P 500 total return (1988-),3,10%+ below high,3567,0.13515763619218069,0.10819032853715621,-0.1731680380242666,0.2865480582445259,0.13737033922063357,-0.07110260227734076,0.21909049515942008
S&P 500 total return (1988-),3,20%+ below high,1987,0.12718648145778189,0.12099302091181004,-0.0903085434597738,0.2865480582445259,0.03975842979365878,0.01119921220176044,0.2193507891229097
S&P 500 total return (1988-),5,random day,8491,0.12547905461846165,0.10928379496799191,-0.08353554649403616,0.2855383174174364,0.12636909669061358,-0.019773346872901776,0.2356207740187114
S&P 500 total return (1988-),5,new all-time high day,665,0.12640811624212045,0.11716132920700621,-0.0396437773454934,0.2708230702043837,0.1548872180451128,-0.027791664392153147,0.24212627191279507
S&P 500 total return (1988-),5,within 1% of high,1874,0.1303827573765125,0.12475562626814404,-0.04013608295322524,0.27123335092877476,0.12059765208110992,-0.02305750086506416,0.23974669928267767
S&P 500 total return (1988-),5,within 5% of high,4183,0.1352441549365928,0.12498679714407814,-0.04013608295322524,0.28484323932118394,0.13507052354769306,-0.02143280470213613,0.24401443862212557
S&P 500 total return (1988-),5,10%+ below high,3271,0.11334508248347053,0.09284516179332107,-0.08353554649403616,0.25166925561534526,0.09293793946805258,-0.01429759067300762,0.1802569008885202
S&P 500 total return (1988-),5,20%+ below high,1931,0.11392617974412578,0.09508977878130266,-0.08353554649403616,0.25166925561534526,0.12221646815121699,-0.02448341144507704,0.18908005082374701
S&P 500 price (1928-),1,random day,24544,0.09553583090003759,0.0820554872758581,-0.7107491891283367,1.711111068725586,0.301254889178618,-0.2471713865683093,0.3770432309048551
S&P 500 price (1928-),1,new all-time high day,1422,0.09845633788333819,0.08234108034762426,-0.37070569141757936,0.5461613125746827,0.28973277074542897,-0.17410014076247493,0.3121219428265714
