year,cash_return,cpi_dec_to_dec,real_return
1982,0.11058434676228335,0.03825717321997879,0.06966209857042838
1983,0.08917659124175836,0.03787103377686796,0.04943346118658565
1984,0.09953864313757221,0.04043392504930954,0.056807757480093146
1985,0.07723229703632728,0.03791469194312791,0.03788134554641576
1986,0.06147773196640238,0.01187214611872145,0.04902357085127318
1987,0.059659474811755375,0.04332129963898912,0.015659773435488855
1988,0.0686957357511806,0.044117647058823595,0.023539577902539133
1989,0.08369720748395126,0.046396023198011616,0.03564729171269132
1990,0.07780650023318536,0.06254948535233562,0.014358874660591159
1991,0.055382231663413384,0.02980625931445613,0.024835712657236275
1992,0.0352129304552653,0.02966714905933454,0.005385994300194152
1993,0.030648724579354303,0.028109627547435068,0.002469675376911118
1994,0.04339085319955349,0.02597402597402576,0.01697589489070417
1995,0.05642201310129913,0.025316455696202667,0.030337518950649622
1996,0.05185493228917282,0.03378817413905133,0.017476266997509038
1997,0.051995403738522405,0.016970458830924073,0.03444047425710073
1998,0.04902286187762073,0.01606922126081578,0.03243247598417898
1999,0.047714210962324755,0.02676399026763998,0.020404124894586317
2000,0.059710490798881466,0.03436018957345954,0.024508194999147914
2001,0.03505880051809296,0.01603665521191311,0.018721908514425012
2002,0.01632014116202707,0.024802705749718212,-0.008277265994809713
2003,0.010277154204768157,0.020352035203520247,-0.009873926499046504
2004,0.013941213450377576,0.033423180592991875,-0.018851877438471276
2005,0.031967712664306314,0.03338549817423053,-0.0013719812329756609
2006,0.04827256233822497,0.025239777889954462,0.02246575381192706
2007,0.044961177951308384,0.04108813392417532,0.003720188426828308
2008,0.014014620203357975,-0.0002222800255385904,0.014240065511021971
2009,0.0014844136801683838,0.028141231232083674,-0.02592719437967761
2010,0.0013657066513284022,0.01437793022217937,-0.012827786550916875
2011,0.0005226266685300907,0.03062066838419386,-0.029203801785628314
2012,0.0008640846197485175,0.017595049796895523,-0.01644167311985878
2013,0.0005679139729037885,0.015128383667573297,-0.014343476085324047
2014,0.00032108500755279046,0.006531213919623191,-0.006169832416708654
2015,0.0005093847182182643,0.006387247515364791,-0.005840557709428595
2016,0.003176619945154835,0.020507989115119862,-0.01698308034314655
2017,0.009381843841784088,0.021299307195522532,-0.01166892337023484
2018,0.019762645973023796,0.020023809043401064,-0.00025603624941084036
2019,0.021025410668317646,0.023195274699624457,-0.0021206744059132365
2020,0.003693577914374746,0.013204191315779434,-0.009386670014712384
2021,0.0004525835022308744,0.07174340285065539,-0.06651855207020918
2022,0.020432857907303426,0.06404600402357152,-0.04098802678770452
2023,0.05251916406987256,0.033159099427102934,0.018738706026501628
2024,0.052246230765890855,0.028706909675099812,0.022882437037606396
2025,0.042069278517139486,0.02653304114557753,0.015134668587212685
